,oid,Id,sentence,cmp_code,eu_code,Flag,Context,labels
273,273,63320_201008_273,"All new coal-fired stations will be required to meet best practice emissions standards, and be Carbon Capture and Storage-ready (CCS-ready).",501,,,Cleaner Power Stations. The Gillard Labor Government will introduce tough new emissions standards for all new coal-fired power stations.,1
274,274,63320_201008_274,Federal Labor is committed to ensuring that future energy generation in Australia is cleaner and greener and that we don't build generation capacity which is not consistent with the low pollution economy of the future.,501,,,"The Gillard Labor Government will introduce tough new emissions standards for all new coal-fired power stations. All new coal-fired stations will be required to meet best practice emissions standards, and be Carbon Capture and Storage-ready (CCS-ready).",1
275,275,63320_201008_275,"At present, 77 per cent of Australia's electricity supply is generated by black and brown coal-fired power stations.",501,,,"All new coal-fired stations will be required to meet best practice emissions standards, and be Carbon Capture and Storage-ready (CCS-ready). Federal Labor is committed to ensuring that future energy generation in Australia is cleaner and greener and that we don't build generation capacity which is not consistent with the low pollution economy of the future.",5
276,276,63320_201008_276,"A Gillard Labor Government will also place additional obligations on existing coal-fired power stations to find opportunities to reduce their emissions by expanding the Energy Efficiency Opportunities program, and publishing facility-level data supplied by power stations under the National Greenhouse and Energy Reporting program.",501,,,"Federal Labor is committed to ensuring that future energy generation in Australia is cleaner and greener and that we don't build generation capacity which is not consistent with the low pollution economy of the future. At present, 77 per cent of Australia's electricity supply is generated by black and brown coal-fired power stations.",1
277,277,63320_201008_277,Connecting Renewables.,,,1.0,"At present, 77 per cent of Australia's electricity supply is generated by black and brown coal-fired power stations. A Gillard Labor Government will also place additional obligations on existing coal-fired power stations to find opportunities to reduce their emissions by expanding the Energy Efficiency Opportunities program, and publishing facility-level data supplied by power stations under the National Greenhouse and Energy Reporting program.",1
278,278,63320_201008_278,A Gillard Labor Government will invest $1 billion over the next decade in our electricity networks to connect Australia's rich but remote renewable resources to Australian homes.,416,,,"A Gillard Labor Government will also place additional obligations on existing coal-fired power stations to find opportunities to reduce their emissions by expanding the Energy Efficiency Opportunities program, and publishing facility-level data supplied by power stations under the National Greenhouse and Energy Reporting program. Connecting Renewables.",7
279,279,63320_201008_279,The Connecting Renewables initiative will transform our energy grids by bringing more renewable energy into Australian households and businesses sooner.,416,,,Connecting Renewables. A Gillard Labor Government will invest $1 billion over the next decade in our electricity networks to connect Australia's rich but remote renewable resources to Australian homes.,1
280,280,63320_201008_280,"This initiative will develop secure, sustainable and affordable energy for the future, supporting the enhanced Renewable Energy Target and helping deliver the Government's commitment to 20 per cent of Australia's electricity supply coming from renewable sources by 2020.",416,,,A Gillard Labor Government will invest $1 billion over the next decade in our electricity networks to connect Australia's rich but remote renewable resources to Australian homes. The Connecting Renewables initiative will transform our energy grids by bringing more renewable energy into Australian households and businesses sooner.,5
281,281,63320_201008_281,Federal Labor will also invest $100 million over four years in a new Renewable Energy Venture Capital Fund.,416,,,"The Connecting Renewables initiative will transform our energy grids by bringing more renewable energy into Australian households and businesses sooner. This initiative will develop secure, sustainable and affordable energy for the future, supporting the enhanced Renewable Energy Target and helping deliver the Government's commitment to 20 per cent of Australia's electricity supply coming from renewable sources by 2020.",7
282,282,63320_201008_282,These new initiatives build on Federal Labor's record investments in solar power and other renewables to help transition Australia to a low pollution economy.,416,,,"This initiative will develop secure, sustainable and affordable energy for the future, supporting the enhanced Renewable Energy Target and helping deliver the Government's commitment to 20 per cent of Australia's electricity supply coming from renewable sources by 2020. Federal Labor will also invest $100 million over four years in a new Renewable Energy Venture Capital Fund.",1
283,283,63320_201008_283,Reward for Early Action.,,,1.0,Federal Labor will also invest $100 million over four years in a new Renewable Energy Venture Capital Fund. These new initiatives build on Federal Labor's record investments in solar power and other renewables to help transition Australia to a low pollution economy.,1
284,284,63320_201008_284,"To give industry certainty about future investment, the Government will ensure that the emission baselines for industry assistance will not be increased ñ they will be as determined under the Carbon Pollution Reduction Scheme (CPRS).",402,,,These new initiatives build on Federal Labor's record investments in solar power and other renewables to help transition Australia to a low pollution economy. Reward for Early Action.,1
285,285,63320_201008_285,How does this measure encourage early action?,,,1.0,"Reward for Early Action. To give industry certainty about future investment, the Government will ensure that the emission baselines for industry assistance will not be increased ñ they will be as determined under the Carbon Pollution Reduction Scheme (CPRS).",1
286,286,63320_201008_286,Allocations of permits to companies for emissions-intensive activities are based on historic estimates of emissions intensity and will continue to be provided on this basis.,402,,,"To give industry certainty about future investment, the Government will ensure that the emission baselines for industry assistance will not be increased ñ they will be as determined under the Carbon Pollution Reduction Scheme (CPRS). How does this measure encourage early action?",1
287,287,63320_201008_287,Improvements in emissions intensity undertaken by individual businesses from these historical baselines will not reduce the permit allocations these businesses will receive under a future market to limit pollution.,402,,,How does this measure encourage early action? Allocations of permits to companies for emissions-intensive activities are based on historic estimates of emissions intensity and will continue to be provided on this basis.,1
288,288,63320_201008_288,"Retaining these baselines will ensure any efforts undertaken by a business now to cut pollution will be rewarded, because it will mean they will be required to purchase fewer permits in a future market to limit pollution.",402,,,Allocations of permits to companies for emissions-intensive activities are based on historic estimates of emissions intensity and will continue to be provided on this basis. Improvements in emissions intensity undertaken by individual businesses from these historical baselines will not reduce the permit allocations these businesses will receive under a future market to limit pollution.,1
289,289,63320_201008_289,It will encourage action early rather than causing businesses to delay action until a market mechanism is introduced.,402,,,"Improvements in emissions intensity undertaken by individual businesses from these historical baselines will not reduce the permit allocations these businesses will receive under a future market to limit pollution. Retaining these baselines will ensure any efforts undertaken by a business now to cut pollution will be rewarded, because it will mean they will be required to purchase fewer permits in a future market to limit pollution.",1
290,290,63320_201008_290,"It will make businesses think twice before adding to their pollution levels ahead of a future market ñ because if they pollute more, they may have to make even greater emissions reductions down the track.",501,,,"Retaining these baselines will ensure any efforts undertaken by a business now to cut pollution will be rewarded, because it will mean they will be required to purchase fewer permits in a future market to limit pollution. It will encourage action early rather than causing businesses to delay action until a market mechanism is introduced.",1
291,291,63320_201008_291,Cleaner Car Rebate.,,,1.0,"It will encourage action early rather than causing businesses to delay action until a market mechanism is introduced. It will make businesses think twice before adding to their pollution levels ahead of a future market ñ because if they pollute more, they may have to make even greater emissions reductions down the track.",1
292,292,63320_201008_292,"The Gillard Labor Government will provide $394 million to support motorists to purchase new, low-emission, fuel-efficient vehicles.",501,,,"It will make businesses think twice before adding to their pollution levels ahead of a future market ñ because if they pollute more, they may have to make even greater emissions reductions down the track. Cleaner Car Rebate.",7
293,293,63320_201008_293,"Households will be able to receive a $2,000 rebate towards a new vehicle by trading in their pre-1995 car for scrapping.",501,,,"Cleaner Car Rebate. The Gillard Labor Government will provide $394 million to support motorists to purchase new, low-emission, fuel-efficient vehicles.",7
294,294,63320_201008_294,"This is part of Federal Labor's plan to make positive changes to how we live, work and travel.",501,,,"The Gillard Labor Government will provide $394 million to support motorists to purchase new, low-emission, fuel-efficient vehicles. Households will be able to receive a $2,000 rebate towards a new vehicle by trading in their pre-1995 car for scrapping.",1
295,295,63320_201008_295,"Over four years from 1 January 2011 to the end of 2014, the Cleaner Car Rebate is expected to result in significant cuts in Australian fleet emissions as close to 200,000 pre-1995 vehicles are taken off the road and replaced with more fuel-efficient, environmentally friendly cars.",501,,,"Households will be able to receive a $2,000 rebate towards a new vehicle by trading in their pre-1995 car for scrapping. This is part of Federal Labor's plan to make positive changes to how we live, work and travel.",5
296,296,63320_201008_296,"The Rebate will be capped over its four years of operation at 200,000 vehicles.",501,,,"This is part of Federal Labor's plan to make positive changes to how we live, work and travel. Over four years from 1 January 2011 to the end of 2014, the Cleaner Car Rebate is expected to result in significant cuts in Australian fleet emissions as close to 200,000 pre-1995 vehicles are taken off the road and replaced with more fuel-efficient, environmentally friendly cars.",5
297,297,63320_201008_297,Emission standards for cars.,,,1.0,"Over four years from 1 January 2011 to the end of 2014, the Cleaner Car Rebate is expected to result in significant cuts in Australian fleet emissions as close to 200,000 pre-1995 vehicles are taken off the road and replaced with more fuel-efficient, environmentally friendly cars. The Rebate will be capped over its four years of operation at 200,000 vehicles.",1
298,298,63320_201008_298,"The Gillard Labor Government will cut emissions on our roads by introducing new mandatory carbon dioxide emission standards for all new light vehicles, including cars, from 2015.",501,,,"The Rebate will be capped over its four years of operation at 200,000 vehicles. Emission standards for cars.",5
299,299,63320_201008_299,"This is part of the Gillard Labor Government's plan to make positive change to how we live, work and travel.",501,,,"Emission standards for cars. The Gillard Labor Government will cut emissions on our roads by introducing new mandatory carbon dioxide emission standards for all new light vehicles, including cars, from 2015.",1
300,300,63320_201008_300,The 15 million light vehicles on Australian roads contribute more than 10 per cent of our nation's total greenhouse gas emissions.,501,,,"The Gillard Labor Government will cut emissions on our roads by introducing new mandatory carbon dioxide emission standards for all new light vehicles, including cars, from 2015. This is part of the Gillard Labor Government's plan to make positive change to how we live, work and travel.",5
301,301,63320_201008_301,Modelling undertaken indicates that the new standards could save 2.6 million tonnes of carbon dioxide annually.,501,,,"This is part of the Gillard Labor Government's plan to make positive change to how we live, work and travel. The 15 million light vehicles on Australian roads contribute more than 10 per cent of our nation's total greenhouse gas emissions.",7
302,302,63320_201008_302,Tax Breaks for Green Buildings.,,,1.0,The 15 million light vehicles on Australian roads contribute more than 10 per cent of our nation's total greenhouse gas emissions. Modelling undertaken indicates that the new standards could save 2.6 million tonnes of carbon dioxide annually.,1
303,303,63320_201008_303,"From 1 July 2011, businesses that invest in eligible assets or capital works to improve the energy efficiency of their existing buildings ñ from 2 stars or lower to 4 stars or higher ñ will be able to apply for a one-off bonus tax deduction.",501,,,Modelling undertaken indicates that the new standards could save 2.6 million tonnes of carbon dioxide annually. Tax Breaks for Green Buildings.,5
304,304,63320_201008_304,The incentive will enable businesses to claim a bonus tax deduction of 50 per cent of the cost of the eligible assets or capital works.,501,,,"Tax Breaks for Green Buildings. From 1 July 2011, businesses that invest in eligible assets or capital works to improve the energy efficiency of their existing buildings ñ from 2 stars or lower to 4 stars or higher ñ will be able to apply for a one-off bonus tax deduction.",5
305,305,63320_201008_305,This initiative is expected to provide a boost of around $1 billion over the life of the scheme to help 'green up' existing buildings right across the country.,501,,,"From 1 July 2011, businesses that invest in eligible assets or capital works to improve the energy efficiency of their existing buildings ñ from 2 stars or lower to 4 stars or higher ñ will be able to apply for a one-off bonus tax deduction. The incentive will enable businesses to claim a bonus tax deduction of 50 per cent of the cost of the eligible assets or capital works.",7
306,306,63320_201008_306,It will help unlock significant energy efficiency by giving businesses a clear incentive to save energy in their buildings.,501,,,The incentive will enable businesses to claim a bonus tax deduction of 50 per cent of the cost of the eligible assets or capital works. This initiative is expected to provide a boost of around $1 billion over the life of the scheme to help 'green up' existing buildings right across the country.,1
307,307,63320_201008_307,"This initiative is part of the Gillard Labor Government's plan to make positive changes to how we live, work and travel.",501,,,This initiative is expected to provide a boost of around $1 billion over the life of the scheme to help 'green up' existing buildings right across the country. It will help unlock significant energy efficiency by giving businesses a clear incentive to save energy in their buildings.,1
308,308,63320_201008_308,Trade Cadetships.,,,1.0,"It will help unlock significant energy efficiency by giving businesses a clear incentive to save energy in their buildings. This initiative is part of the Gillard Labor Government's plan to make positive changes to how we live, work and travel.",1
309,309,63320_201008_309,"The Gillard Labor Government will ensure that students at school who want to pursue a career in the trades have a clearly defined pathway, equal in quality, value and rigour to more traditional academic pursuits.",411,,,"This initiative is part of the Gillard Labor Government's plan to make positive changes to how we live, work and travel. Trade Cadetships.",1
310,310,63320_201008_310,From 2012 students from years 9 to 12 will be offered a new National Trade Cadetship as an option under the National Curriculum.,411,,,"Trade Cadetships. The Gillard Labor Government will ensure that students at school who want to pursue a career in the trades have a clearly defined pathway, equal in quality, value and rigour to more traditional academic pursuits.",1
311,311,63320_201008_311,This Cadetship will be delivered through their local Trades Training Centre and through other eligible venues.,411,,,"The Gillard Labor Government will ensure that students at school who want to pursue a career in the trades have a clearly defined pathway, equal in quality, value and rigour to more traditional academic pursuits. From 2012 students from years 9 to 12 will be offered a new National Trade Cadetship as an option under the National Curriculum.",1
312,312,63320_201008_312,There will be two streams of National Trade Cadetship available:,411,,,From 2012 students from years 9 to 12 will be offered a new National Trade Cadetship as an option under the National Curriculum. This Cadetship will be delivered through their local Trades Training Centre and through other eligible venues.,1
313,313,63320_201008_313,National Trade Cadetship - Foundation which will focus on essential work readiness skills and laying the foundation for further training; |and,411,,,This Cadetship will be delivered through their local Trades Training Centre and through other eligible venues. There will be two streams of National Trade Cadetship available:,1
314,314,63320_201008_314,National Trade Cadetship - Pre-Apprentice which will focus on specific trade or occupation area,411,,,There will be two streams of National Trade Cadetship available: National Trade Cadetship - Foundation which will focus on essential work readiness skills and laying the foundation for further training; |and,1
315,315,63320_201008_315,"The National Trade Cadetships will be developed by the Australian Curriculum and Assessment Reporting Authority (ACARA), in partnership with Industry Skills Councils and with States and Territories.",411,,,National Trade Cadetship - Foundation which will focus on essential work readiness skills and laying the foundation for further training; |and National Trade Cadetship - Pre-Apprentice which will focus on specific trade or occupation area,1
316,316,63320_201008_316,National Trade Cadetships will be nationally recognised and will provide credit towards an apprenticeship or further training.,411,,,"National Trade Cadetship - Pre-Apprentice which will focus on specific trade or occupation area The National Trade Cadetships will be developed by the Australian Curriculum and Assessment Reporting Authority (ACARA), in partnership with Industry Skills Councils and with States and Territories.",1
317,317,63320_201008_317,"ACARA will work with States and Territories to ensure the Cadetships contribute towards state based senior awards, in the same way as other approved subjects under the National Curriculum.",411,,,"The National Trade Cadetships will be developed by the Australian Curriculum and Assessment Reporting Authority (ACARA), in partnership with Industry Skills Councils and with States and Territories. National Trade Cadetships will be nationally recognised and will provide credit towards an apprenticeship or further training.",1
318,318,63320_201008_318,This will mean that the National Curriculum will define the essential skills and knowledge required for employability and vocational skills.,411,,,"National Trade Cadetships will be nationally recognised and will provide credit towards an apprenticeship or further training. ACARA will work with States and Territories to ensure the Cadetships contribute towards state based senior awards, in the same way as other approved subjects under the National Curriculum.",1
319,319,63320_201008_319,This will mean that more secondary students will have the option to start a pathway towards recognised trade qualifications while still at school.,411,,,"ACARA will work with States and Territories to ensure the Cadetships contribute towards state based senior awards, in the same way as other approved subjects under the National Curriculum. This will mean that the National Curriculum will define the essential skills and knowledge required for employability and vocational skills.",1
320,320,63320_201008_320,The National Trade Cadetship will help make students work ready and will help create a more skilled workforce.,411,,,This will mean that the National Curriculum will define the essential skills and knowledge required for employability and vocational skills. This will mean that more secondary students will have the option to start a pathway towards recognised trade qualifications while still at school.,1
321,321,63320_201008_321,The Gillard Labor Government has also announced a Cadet Work Experience program to ensure school students gain experience and confidence in a real work environment as part of their National Trade Cadetship,411,,,This will mean that more secondary students will have the option to start a pathway towards recognised trade qualifications while still at school. The National Trade Cadetship will help make students work ready and will help create a more skilled workforce.,1
322,322,63320_201008_322,Cadet Work Experience.,,,1.0,The National Trade Cadetship will help make students work ready and will help create a more skilled workforce. The Gillard Labor Government has also announced a Cadet Work Experience program to ensure school students gain experience and confidence in a real work environment as part of their National Trade Cadetship,1
323,323,63320_201008_323,The Gillard Labor Government will invest $25 million to ensure school students gain experience and confidence in a real work environment as part of the National Trade Cadetship being delivered in Trades Training Centres,411,,,The Gillard Labor Government has also announced a Cadet Work Experience program to ensure school students gain experience and confidence in a real work environment as part of their National Trade Cadetship Cadet Work Experience.,7
324,324,63320_201008_324,"Up to 50,000 additional structured work experience places will be provided, with the first cohort of students undertaking a National Trade Cadetship in 2012 to be the first to benefit.",411,,,Cadet Work Experience. The Gillard Labor Government will invest $25 million to ensure school students gain experience and confidence in a real work environment as part of the National Trade Cadetship being delivered in Trades Training Centres,5
325,325,63320_201008_325,There is evidence that students who have a good understanding of what will be involved in an apprenticeship and good foundation skills are more likely to finish their apprenticeship.,411,,,"The Gillard Labor Government will invest $25 million to ensure school students gain experience and confidence in a real work environment as part of the National Trade Cadetship being delivered in Trades Training Centres Up to 50,000 additional structured work experience places will be provided, with the first cohort of students undertaking a National Trade Cadetship in 2012 to be the first to benefit.",1
326,326,63320_201008_326,Students need to understand the practical side of their training and gain experience and confidence in a real work environment before making decisions about their future careers and committing to an apprenticeship.,411,,,"Up to 50,000 additional structured work experience places will be provided, with the first cohort of students undertaking a National Trade Cadetship in 2012 to be the first to benefit. There is evidence that students who have a good understanding of what will be involved in an apprenticeship and good foundation skills are more likely to finish their apprenticeship.",1
327,327,63320_201008_327,"These 50,000 work experience places will provide students with the opportunity to experience firsthand what will be involved in particular trades and industries.",411,,,There is evidence that students who have a good understanding of what will be involved in an apprenticeship and good foundation skills are more likely to finish their apprenticeship. Students need to understand the practical side of their training and gain experience and confidence in a real work environment before making decisions about their future careers and committing to an apprenticeship.,5
328,328,63320_201008_328,"This work experience component will build on the clearly defined, robust, nationally recognised and consistent pathways the National Trade Cadetships will deliver for students who want to pursue a career in the trades.",411,,,"Students need to understand the practical side of their training and gain experience and confidence in a real work environment before making decisions about their future careers and committing to an apprenticeship. These 50,000 work experience places will provide students with the opportunity to experience firsthand what will be involved in particular trades and industries.",1
329,329,63320_201008_329,Protecting Workers' Entitlements Package.,,,1.0,"These 50,000 work experience places will provide students with the opportunity to experience firsthand what will be involved in particular trades and industries. This work experience component will build on the clearly defined, robust, nationally recognised and consistent pathways the National Trade Cadetships will deliver for students who want to pursue a career in the trades.",1
330,330,63320_201008_330,The Gillard Labor Government's Protecting Workers' Entitlements package will provide the strongest protection of employee entitlements Australian workers have ever had.,701,,,"This work experience component will build on the clearly defined, robust, nationally recognised and consistent pathways the National Trade Cadetships will deliver for students who want to pursue a career in the trades. Protecting Workers' Entitlements Package.",1
331,331,63320_201008_331,The package protects employees' entitlements through three strong measures:,701,,,Protecting Workers' Entitlements Package. The Gillard Labor Government's Protecting Workers' Entitlements package will provide the strongest protection of employee entitlements Australian workers have ever had.,1
332,332,63320_201008_332,The Fair Entitlements Guarantee;,701,,,The Gillard Labor Government's Protecting Workers' Entitlements package will provide the strongest protection of employee entitlements Australian workers have ever had. The package protects employees' entitlements through three strong measures:,1
333,333,63320_201008_333,Securing Super;,701,,,The package protects employees' entitlements through three strong measures: The Fair Entitlements Guarantee;,1
334,334,63320_201008_334,Strengthening Corporate and Taxation Law.,701,,,The Fair Entitlements Guarantee; Securing Super;,6
335,335,63320_201008_335,"The Fair Entitlements Guarantee will protect workers' entitlements including: redundancy pay (up to a maximum of four weeks for each year of service), all annual leave, all long service leave and up to three months of unpaid wages.",701,,,Securing Super; Strengthening Corporate and Taxation Law.,1
336,336,63320_201008_336,The Fair Entitlements Guarantee will be enshrined in legislation.,701,,,"Strengthening Corporate and Taxation Law. The Fair Entitlements Guarantee will protect workers' entitlements including: redundancy pay (up to a maximum of four weeks for each year of service), all annual leave, all long service leave and up to three months of unpaid wages.",6
337,337,63320_201008_337,Securing Super will strengthen compliance measures to ensure employees receive their superannuation entitlements.,701,,,"The Fair Entitlements Guarantee will protect workers' entitlements including: redundancy pay (up to a maximum of four weeks for each year of service), all annual leave, all long service leave and up to three months of unpaid wages. The Fair Entitlements Guarantee will be enshrined in legislation.",1
338,338,63320_201008_338,Strengthening Corporate and Taxation Law will give the Australian Securities and Investments Commission (ASIC) increased powers and strengthen penalties to take action against companies that do the wrong thing.,701,,,The Fair Entitlements Guarantee will be enshrined in legislation. Securing Super will strengthen compliance measures to ensure employees receive their superannuation entitlements.,6
339,339,63320_201008_339,Reforms will be introduced that target `phoenix' company arrangements.,403,,,Securing Super will strengthen compliance measures to ensure employees receive their superannuation entitlements. Strengthening Corporate and Taxation Law will give the Australian Securities and Investments Commission (ASIC) increased powers and strengthen penalties to take action against companies that do the wrong thing.,1
340,340,63320_201008_340,"This package stands in contrast to the Coalition, who will rip workers' entitlements away.",701,,,Strengthening Corporate and Taxation Law will give the Australian Securities and Investments Commission (ASIC) increased powers and strengthen penalties to take action against companies that do the wrong thing. Reforms will be introduced that target `phoenix' company arrangements.,1
341,341,63320_201008_341,"Australian employees work hard and deserve to know that their wages, superannuation and other entitlements are safe.",701,,,"Reforms will be introduced that target `phoenix' company arrangements. This package stands in contrast to the Coalition, who will rip workers' entitlements away.",1
342,342,63320_201008_342,The biggest risk to these entitlements is Tony Abbott.,305,,,"This package stands in contrast to the Coalition, who will rip workers' entitlements away. Australian employees work hard and deserve to know that their wages, superannuation and other entitlements are safe.",1
343,343,63320_201008_343,Draft National Disability Strategy.,,,1.0,"Australian employees work hard and deserve to know that their wages, superannuation and other entitlements are safe. The biggest risk to these entitlements is Tony Abbott.",1
344,344,63320_201008_344,"The Gillard Labor Government has released its draft National Disability Strategy which outlines a 10-year national plan to improve the lives of people with disability, promote participation, and create a more inclusive society.",705,,,The biggest risk to these entitlements is Tony Abbott. Draft National Disability Strategy.,3
345,345,63320_201008_345,The Gillard Labor Government is committed to ensuring that people with disability are able to fulfil their potential.,705,,,"Draft National Disability Strategy. The Gillard Labor Government has released its draft National Disability Strategy which outlines a 10-year national plan to improve the lives of people with disability, promote participation, and create a more inclusive society.",1
346,346,63320_201008_346,"The Strategy has been developed in consultation with people with disability, the community, State and Territory Governments and local governments.",705,,,"The Gillard Labor Government has released its draft National Disability Strategy which outlines a 10-year national plan to improve the lives of people with disability, promote participation, and create a more inclusive society. The Gillard Labor Government is committed to ensuring that people with disability are able to fulfil their potential.",1
347,347,63320_201008_347,It outlines a nationwide approach to improving the lives of people with disability.,705,,,"The Gillard Labor Government is committed to ensuring that people with disability are able to fulfil their potential. The Strategy has been developed in consultation with people with disability, the community, State and Territory Governments and local governments.",1
348,348,63320_201008_348,A re-elected Gillard Labor Government will take the National Disability Strategy to the Council of Australian Governments early next term.,705,,,"The Strategy has been developed in consultation with people with disability, the community, State and Territory Governments and local governments. It outlines a nationwide approach to improving the lives of people with disability.",1
349,349,63320_201008_349,A better start for children with disability.,,,,It outlines a nationwide approach to improving the lives of people with disability. A re-elected Gillard Labor Government will take the National Disability Strategy to the Council of Australian Governments early next term.,1
350,350,63320_201008_350,The Gillard Labor Government will provide new access to early intervention services to help give more children with disability a better start in life.,705,,,A re-elected Gillard Labor Government will take the National Disability Strategy to the Council of Australian Governments early next term. A better start for children with disability.,1
351,351,63320_201008_351,A Better Start for Children with Disability will ensure children with disabilities that affect their development have access to intensive early intervention therapies and treatments from expert health professionals.,705,,,A better start for children with disability. The Gillard Labor Government will provide new access to early intervention services to help give more children with disability a better start in life.,1
352,352,63320_201008_352,"Children diagnosed with sight and hearing impairments, cerebral palsy, Down syndrome or Fragile X syndrome will benefit under the program.",705,,,The Gillard Labor Government will provide new access to early intervention services to help give more children with disability a better start in life. A Better Start for Children with Disability will ensure children with disabilities that affect their development have access to intensive early intervention therapies and treatments from expert health professionals.,1
353,353,63320_201008_353,"Children under six with a diagnosis of a listed disability will be eligible to receive up to $12,000 for early intervention services.",705,,,"A Better Start for Children with Disability will ensure children with disabilities that affect their development have access to intensive early intervention therapies and treatments from expert health professionals. Children diagnosed with sight and hearing impairments, cerebral palsy, Down syndrome or Fragile X syndrome will benefit under the program.",7
354,354,63320_201008_354,"A maximum of $6,000 can be spent in any financial year.",705,,,"Children diagnosed with sight and hearing impairments, cerebral palsy, Down syndrome or Fragile X syndrome will benefit under the program. Children under six with a diagnosis of a listed disability will be eligible to receive up to $12,000 for early intervention services.",7
355,355,63320_201008_355,Families will have up to their child's seventh birthday to use the funding.,705,,,"Children under six with a diagnosis of a listed disability will be eligible to receive up to $12,000 for early intervention services. A maximum of $6,000 can be spent in any financial year.",1
356,356,63320_201008_356,A number of new Medicare funded diagnosis and treatment services will also be made available for children diagnosed before the age of 13 years with these conditions.,705,,,"A maximum of $6,000 can be spent in any financial year. Families will have up to their child's seventh birthday to use the funding.",1
357,357,63320_201008_357,Families will be able to access the treatment items up to their child's fifteenth birthday.,705,,,Families will have up to their child's seventh birthday to use the funding. A number of new Medicare funded diagnosis and treatment services will also be made available for children diagnosed before the age of 13 years with these conditions.,1
358,358,63320_201008_358,Supported accommodation for people with disability.,,,,A number of new Medicare funded diagnosis and treatment services will also be made available for children diagnosed before the age of 13 years with these conditions. Families will be able to access the treatment items up to their child's fifteenth birthday.,1
359,359,63320_201008_359,The Gillard Labor Government will deliver more supported accommodation and respite for people with disability.,705,,,Families will be able to access the treatment items up to their child's fifteenth birthday. Supported accommodation for people with disability.,1
360,360,63320_201008_360,"For the first time Federal Labor will be giving community organisations the opportunity to apply for direct capital funding from the Federal Government for supported accommodation and respite facilities, with the first capital grants provided in 2011.",705,,,Supported accommodation for people with disability. The Gillard Labor Government will deliver more supported accommodation and respite for people with disability.,1
361,361,63320_201008_361,"Community organisations are uniquely placed to develop accommodation and respite options that capitalise on local support and resources, and meet the needs of people with disability and their carers in an inventive way.",705,,,"The Gillard Labor Government will deliver more supported accommodation and respite for people with disability. For the first time Federal Labor will be giving community organisations the opportunity to apply for direct capital funding from the Federal Government for supported accommodation and respite facilities, with the first capital grants provided in 2011.",1
362,362,63320_201008_362,"Projects could include a modern renovation of an existing home so it can be used for supported accommodation, pooled resources to build a contemporary facility close to local community and health services to provide overnight respite, or expanding an established facility to provide more places.",705,,,"For the first time Federal Labor will be giving community organisations the opportunity to apply for direct capital funding from the Federal Government for supported accommodation and respite facilities, with the first capital grants provided in 2011. Community organisations are uniquely placed to develop accommodation and respite options that capitalise on local support and resources, and meet the needs of people with disability and their carers in an inventive way.",7
363,363,63320_201008_363,Up to 150 additional places are expected to be delivered through the $60 million investment that will be provided under this initiative.,705,,,"Community organisations are uniquely placed to develop accommodation and respite options that capitalise on local support and resources, and meet the needs of people with disability and their carers in an inventive way. Projects could include a modern renovation of an existing home so it can be used for supported accommodation, pooled resources to build a contemporary facility close to local community and health services to provide overnight respite, or expanding an established facility to provide more places.",5
364,364,63320_201008_364,National Broadband Network.,,,1.0,"Projects could include a modern renovation of an existing home so it can be used for supported accommodation, pooled resources to build a contemporary facility close to local community and health services to provide overnight respite, or expanding an established facility to provide more places. Up to 150 additional places are expected to be delivered through the $60 million investment that will be provided under this initiative.",1
365,365,63320_201008_365,"Federal Labor has established NBN Co Limited, to build and operate a new superfast National Broadband Network (NBN).",411,,,Up to 150 additional places are expected to be delivered through the $60 million investment that will be provided under this initiative. National Broadband Network.,1
366,366,63320_201008_366,The NBN is the biggest nation building project in Australia's history.,411,,1.0,"National Broadband Network. Federal Labor has established NBN Co Limited, to build and operate a new superfast National Broadband Network (NBN).",1
367,367,63320_201008_367,NBN Co will invest up to $43 billion over eight years to fund the rollout and ongoing operations of the network.,411,,,"Federal Labor has established NBN Co Limited, to build and operate a new superfast National Broadband Network (NBN). The NBN is the biggest nation building project in Australia's history.",7
368,368,63320_201008_368,"The NBN will deliver affordable, high speed broadband services to all Australians, no matter where they live or work.",411,,,The NBN is the biggest nation building project in Australia's history. NBN Co will invest up to $43 billion over eight years to fund the rollout and ongoing operations of the network.,1
369,369,63320_201008_369,"The National Broadband Network will extend optical fibre to 93 per cent of premises, with speeds of 100 megabits per second ñ 100 times faster than many people experience today.",411,,,"NBN Co will invest up to $43 billion over eight years to fund the rollout and ongoing operations of the network. The NBN will deliver affordable, high speed broadband services to all Australians, no matter where they live or work.",5
370,370,63320_201008_370,"Other communities will be served by next generation wireless and satellite technologies, with average data rates more than 20 times higher than most users of these technologies experience today.",411,,,"The NBN will deliver affordable, high speed broadband services to all Australians, no matter where they live or work. The National Broadband Network will extend optical fibre to 93 per cent of premises, with speeds of 100 megabits per second ñ 100 times faster than many people experience today.",1
371,371,63320_201008_371,Extending Fibre Coverage.,,,1.0,"The National Broadband Network will extend optical fibre to 93 per cent of premises, with speeds of 100 megabits per second ñ 100 times faster than many people experience today. Other communities will be served by next generation wireless and satellite technologies, with average data rates more than 20 times higher than most users of these technologies experience today.",1
372,372,63320_201008_372,The Gillard Labor Government has extended NBN Co's fibre coverage objective from 90 per cent to 93 per cent of premises by the end of the rollout.,411,,,"Other communities will be served by next generation wireless and satellite technologies, with average data rates more than 20 times higher than most users of these technologies experience today. Extending Fibre Coverage.",5
