,oid,Id,sentence,Flag,context,party,year,incumbent,labels
592,592,63620_198010_592,ENERGY.,1,"In support of this development the Government has already approved a total investment of $4.7 billion in infrastructure programmes, e.g. railway electrification; electricity generation; and coal export facilities.",Liberal,1980,Liberal,1
593,593,63620_198010_593,Our aim is to ensure adequate energy supplies for Australia for the long term future and to help energy hungry countries whose living standards are threatened.,0,railway electrification; electricity generation; and coal export facilities. ENERGY.,Liberal,1980,Liberal,5
594,594,63620_198010_594,Our national energy policies are based on four goals: - to conserve petroleum fuels to the maximum.,0,ENERGY. Our aim is to ensure adequate energy supplies for Australia for the long term future and to help energy hungry countries whose living standards are threatened.,Liberal,1980,Liberal,1
595,595,63620_198010_595,"- to convert from oil to other energy sources (e.g.gas, electricity, coal).",0,Our aim is to ensure adequate energy supplies for Australia for the long term future and to help energy hungry countries whose living standards are threatened. Our national energy policies are based on four goals: - to conserve petroleum fuels to the maximum.,Liberal,1980,Liberal,1
596,596,63620_198010_596,- to explore vigorously for oil And gas.,0,"Our national energy policies are based on four goals: - to conserve petroleum fuels to the maximum. - to convert from oil to other energy sources (e.g.gas, electricity, coal).",Liberal,1980,Liberal,1
597,597,63620_198010_597,"- to develop the production of synthetic fuels (e.g. oil from coal and shale, ethanol from biomass methanol and fuels from renewable sources).",0,"- to convert from oil to other energy sources (e.g.gas, electricity, coal). - to explore vigorously for oil And gas.",Liberal,1980,Liberal,1
598,598,63620_198010_598,The world is consuming oil at twice the rate it is finding it and the price of oil must reflect its scarcity value.,1,"- to explore vigorously for oil And gas. - to develop the production of synthetic fuels (e.g. oil from coal and shale, ethanol from biomass methanol and fuels from renewable sources).",Liberal,1980,Liberal,1
599,599,63620_198010_599,"Most of the world is energy-hungry, with few or no local substitutes for oil.",1,"- to develop the production of synthetic fuels (e.g. oil from coal and shale, ethanol from biomass methanol and fuels from renewable sources). The world is consuming oil at twice the rate it is finding it and the price of oil must reflect its scarcity value.",Liberal,1980,Liberal,1
600,600,63620_198010_600,Australia is energy-rich in coal and uranium and has significant resources of natural gas.,1,"The world is consuming oil at twice the rate it is finding it and the price of oil must reflect its scarcity value. Most of the world is energy-hungry, with few or no local substitutes for oil.",Liberal,1980,Liberal,1
601,601,63620_198010_601,Therefore we must accept and develop our responsibility as a major international supplier of energy.,0,"Most of the world is energy-hungry, with few or no local substitutes for oil. Australia is energy-rich in coal and uranium and has significant resources of natural gas.",Liberal,1980,Liberal,1
602,602,63620_198010_602,"We can, and must, be a major energy exporter, consistent with our own domestic needs.",0,Australia is energy-rich in coal and uranium and has significant resources of natural gas. Therefore we must accept and develop our responsibility as a major international supplier of energy.,Liberal,1980,Liberal,1
603,603,63620_198010_603,Oil.,1,"Therefore we must accept and develop our responsibility as a major international supplier of energy. We can, and must, be a major energy exporter, consistent with our own domestic needs.",Liberal,1980,Liberal,1
604,604,63620_198010_604,Australia's local oil reserves are diminishing rapidly.,1,"We can, and must, be a major energy exporter, consistent with our own domestic needs. Oil.",Liberal,1980,Liberal,1
605,605,63620_198010_605,Without further major oil discoveries our current 67 % self-sufficiency will fall to 50% in 1985.,1,Oil. Australia's local oil reserves are diminishing rapidly.,Liberal,1980,Liberal,1
606,606,63620_198010_606,40% in 1990 and to as low as 10% by the turn of the century.,1,Australia's local oil reserves are diminishing rapidly. Without further major oil discoveries our current 67 % self-sufficiency will fall to 50% in 1985.,Liberal,1980,Liberal,1
607,607,63620_198010_607,The key to achieving our goals is the import parity pricing of oil (i.e. reflecting its world scarcity value).,1,Without further major oil discoveries our current 67 % self-sufficiency will fall to 50% in 1985. 40% in 1990 and to as low as 10% by the turn of the century.,Liberal,1980,Liberal,1
608,608,63620_198010_608,The high cost synthetic fuel industry depends for its competitive survival upon the maintenance of import parity pricing.,1,40% in 1990 and to as low as 10% by the turn of the century. The key to achieving our goals is the import parity pricing of oil (i.e. reflecting its world scarcity value).,Liberal,1980,Liberal,1
609,609,63620_198010_609,It cannot compete if oil prices are held down artificially.,1,The key to achieving our goals is the import parity pricing of oil (i.e. reflecting its world scarcity value). The high cost synthetic fuel industry depends for its competitive survival upon the maintenance of import parity pricing.,Liberal,1980,Liberal,1
610,610,63620_198010_610,"Yet, without synthetics Australia would be energy hungry and perilously dependent on the uncertainty of high cost oil imports.",1,The high cost synthetic fuel industry depends for its competitive survival upon the maintenance of import parity pricing. It cannot compete if oil prices are held down artificially.,Liberal,1980,Liberal,1
611,611,63620_198010_611,The Rundle shale oil development and other large synthetic enterprises like it are vital to ensure energy for the years ahead.,1,"It cannot compete if oil prices are held down artificially. Yet, without synthetics Australia would be energy hungry and perilously dependent on the uncertainty of high cost oil imports.",Liberal,1980,Liberal,1
612,612,63620_198010_612,Gas.,1,"Yet, without synthetics Australia would be energy hungry and perilously dependent on the uncertainty of high cost oil imports. The Rundle shale oil development and other large synthetic enterprises like it are vital to ensure energy for the years ahead.",Liberal,1980,Liberal,1
613,613,63620_198010_613,The Government will support the development of LPG as a premium fuel with top priority for automotive use.,0,The Rundle shale oil development and other large synthetic enterprises like it are vital to ensure energy for the years ahead. Gas.,Liberal,1980,Liberal,6
614,614,63620_198010_614,A clear price differential between LPG and petrol will be maintained.,0,Gas. The Government will support the development of LPG as a premium fuel with top priority for automotive use.,Liberal,1980,Liberal,6
615,615,63620_198010_615,The $ 80 a tonne subsidy paid to domestic consumers will be extended to traditional users of LPG in decentralised industries.,0,The Government will support the development of LPG as a premium fuel with top priority for automotive use. A clear price differential between LPG and petrol will be maintained.,Liberal,1980,Liberal,7
616,616,63620_198010_616,Where practical natural gas pipelines will be extended in country areas.,0,A clear price differential between LPG and petrol will be maintained. The $ 80 a tonne subsidy paid to domestic consumers will be extended to traditional users of LPG in decentralised industries.,Liberal,1980,Liberal,1
617,617,63620_198010_617,Electricity.,1,The $ 80 a tonne subsidy paid to domestic consumers will be extended to traditional users of LPG in decentralised industries. Where practical natural gas pipelines will be extended in country areas.,Liberal,1980,Liberal,1
618,618,63620_198010_618,We will continue to co-operate with the States in infrastructure financing for the increased development of electricity generation capacity to meet heavier demands.,0,Where practical natural gas pipelines will be extended in country areas. Electricity.,Liberal,1980,Liberal,6
619,619,63620_198010_619,Growth in power generation in this decade will be greater than in any two previous decades.,0,Electricity. We will continue to co-operate with the States in infrastructure financing for the increased development of electricity generation capacity to meet heavier demands.,Liberal,1980,Liberal,1
620,620,63620_198010_620,The concept of an electric power grid for south-eastern Australia is now under intensive study.,0,We will continue to co-operate with the States in infrastructure financing for the increased development of electricity generation capacity to meet heavier demands. Growth in power generation in this decade will be greater than in any two previous decades.,Liberal,1980,Liberal,1
621,621,63620_198010_621,Uranium.,1,Growth in power generation in this decade will be greater than in any two previous decades. The concept of an electric power grid for south-eastern Australia is now under intensive study.,Liberal,1980,Liberal,1
622,622,63620_198010_622,The Government recognises that many countries will be compelled to develop nuclear power generation in order to meet their energy needs.,0,The concept of an electric power grid for south-eastern Australia is now under intensive study. Uranium.,Liberal,1980,Liberal,1
623,623,63620_198010_623,"Australia will supply uranium for peaceful purposes under the strictest safeguards, including the monitoring of materials and the disposal of radioactive wastes.",0,Uranium. The Government recognises that many countries will be compelled to develop nuclear power generation in order to meet their energy needs.,Liberal,1980,Liberal,6
624,624,63620_198010_624,Research and Development.,1,"The Government recognises that many countries will be compelled to develop nuclear power generation in order to meet their energy needs. Australia will supply uranium for peaceful purposes under the strictest safeguards, including the monitoring of materials and the disposal of radioactive wastes.",Liberal,1980,Liberal,1
625,625,63620_198010_625,The Government will continue to expand energy research and development through existing agencies particularly in the field of renewable energy sources.,0,"Australia will supply uranium for peaceful purposes under the strictest safeguards, including the monitoring of materials and the disposal of radioactive wastes. Research and Development.",Liberal,1980,Liberal,6
626,626,63620_198010_626,"Water, Soil and Decentralisation.",1,Research and Development. The Government will continue to expand energy research and development through existing agencies particularly in the field of renewable energy sources.,Liberal,1980,Liberal,1
627,627,63620_198010_627,The Government will also: - expand the Water Resources programme in partnership with the States.,0,"The Government will continue to expand energy research and development through existing agencies particularly in the field of renewable energy sources. Water, Soil and Decentralisation.",Liberal,1980,Liberal,6
628,628,63620_198010_628,- allocate $3 million to the States in 1981/82 for soil conservation purposes.,0,"Water, Soil and Decentralisation. The Government will also: - expand the Water Resources programme in partnership with the States.",Liberal,1980,Liberal,7
629,629,63620_198010_629,- continue to aid regional development programmes with the advice of the Decentralisation advisory Board.,0,The Government will also: - expand the Water Resources programme in partnership with the States. - allocate $3 million to the States in 1981/82 for soil conservation purposes.,Liberal,1980,Liberal,4
630,630,63620_198010_630,MANUFACTURING INDUSTRY.,1,- allocate $3 million to the States in 1981/82 for soil conservation purposes. - continue to aid regional development programmes with the advice of the Decentralisation advisory Board.,Liberal,1980,Liberal,1
631,631,63620_198010_631,A vigorous and profitable manufacturing industry is fundamental to real economic growth and new jobs.,0,- continue to aid regional development programmes with the advice of the Decentralisation advisory Board. Manufacturing INDUSTRY.,Liberal,1980,Liberal,1
632,632,63620_198010_632,"The Government is committed to the development of efficient, outward-looking Australian industries.",0,MANUFACTURING INDUSTRY. A vigorous and profitable manufacturing industry is fundamental to real economic growth and new jobs.,Liberal,1980,Liberal,1
633,633,63620_198010_633,"Tariff reviews, sensitively approached, have a role to play in facilitating desirable changes in industry structure and in encouraging greater specialisation.",0,"A vigorous and profitable manufacturing industry is fundamental to real economic growth and new jobs. The Government is committed to the development of efficient, outward-looking Australian industries.",Liberal,1980,Liberal,1
634,634,63620_198010_634,"In the longer term, the Government considers that Australia will be best served by an industry structure placing less reliance on protective measures than at present.",0,"The Government is committed to the development of efficient, outward-looking Australian industries. Tariff reviews, sensitively approached, have a role to play in facilitating desirable changes in industry structure and in encouraging greater specialisation.",Liberal,1980,Liberal,6
635,635,63620_198010_635,"However, movement toward this goal must necessarily be gradual and appropriately timed.",0,"Tariff reviews, sensitively approached, have a role to play in facilitating desirable changes in industry structure and in encouraging greater specialisation. In the longer term, the Government considers that Australia will be best served by an industry structure placing less reliance on protective measures than at present.",Liberal,1980,Liberal,1
636,636,63620_198010_636,Where reductions are appropriate we will give industry advance warning and time to adapt to change.,0,"In the longer term, the Government considers that Australia will be best served by an industry structure placing less reliance on protective measures than at present. However, movement toward this goal must necessarily be gradual and appropriately timed.",Liberal,1980,Liberal,3
637,637,63620_198010_637,"The record of industry in the past year reflects its own enterprise and the Government's success in fighting inflation: - internationally, the competitiveness of Australian industry is at its highest level for many years.",1,"However, movement toward this goal must necessarily be gradual and appropriately timed. Where reductions are appropriate we will give industry advance warning and time to adapt to change.",Liberal,1980,Liberal,1
638,638,63620_198010_638,"- employment in manufacturing rose by 41,000.",1,"Where reductions are appropriate we will give industry advance warning and time to adapt to change. The record of industry in the past year reflects its own enterprise and the Government's success in fighting inflation: - internationally, the competitiveness of Australian industry is at its highest level for many years.",Liberal,1980,Liberal,1
639,639,63620_198010_639,- factory production expanded by 7 % in real terms.,1,"The record of industry in the past year reflects its own enterprise and the Government's success in fighting inflation: - internationally, the competitiveness of Australian industry is at its highest level for many years. - employment in manufacturing rose by 41,000.",Liberal,1980,Liberal,1
640,640,63620_198010_640,- Manufacturing investment increased significantly.,1,"- employment in manufacturing rose by 41,000. - factory production expanded by 7 % in real terms.",Liberal,1980,Liberal,1
641,641,63620_198010_641,- the volume of exports reached A record Level Incentives.,1,- factory production expanded by 7 % in real terms. - Manufacturing investment increased significantly.,Liberal,1980,Liberal,1
642,642,63620_198010_642,The Government has provided significant assistance and incentives for the private sector.,1,- Manufacturing investment increased significantly. - the volume of exports reached A record Level Incentives.,Liberal,1980,Liberal,1
643,643,63620_198010_643,It has: - greatly increased direct financial assistance to manufacturing industry over the past five years to a record $416 million in 1980/81.,1,- the volume of exports reached A record Level Incentives. the Government has provided significant assistance And incentives for the private sector.,Liberal,1980,Liberal,1
644,644,63620_198010_644,- provided $540 million over the five years to June 1981 for modernisation assistance through the reintroduction of the investment allowance.,1,The Government has provided significant assistance and incentives for the private sector. It has: - greatly increased direct financial assistance to manufacturing industry over the past five years to a record $416 million in 1980/81.,Liberal,1980,Liberal,1
645,645,63620_198010_645,- increased depreciation rates on plant and equipment by 20 % in the last Budget.,1,It has: - greatly increased direct financial assistance to manufacturing industry over the past five years to a record $416 million in 1980/81. - provided $540 million over the five years to June 1981 for modernisation assistance through the reintroduction of the investment allowance.,Liberal,1980,Liberal,1
646,646,63620_198010_646,- lifted industrial research and development grants by 180% over five years to $54 million.,1,- provided $540 million over the five years to June 1981 for modernisation assistance through the reintroduction of the investment allowance. - increased depreciation rates on plant and equipment by 20 % in the last Budget.,Liberal,1980,Liberal,1
647,647,63620_198010_647,- increased export development incentives by 225 % over five years to $260 million.,1,- increased depreciation rates on plant and equipment by 20 % in the last Budget. - lifted industrial research and development grants by 180% over five years to $54 million.,Liberal,1980,Liberal,1
648,648,63620_198010_648,- ensured Australian firms can participate in the current upgrading of Australia's defence force with business worth in excess of $800 million this year.,1,- lifted industrial research and development grants by 180% over five years to $54 million. - increased export development incentives by 225 % over five years to $260 million.,Liberal,1980,Liberal,1
649,649,63620_198010_649,"The Government will continue to take positive action to encourage the development of an outward-looking, specialised and innovative manufacturing sector.",0,- increased export development incentives by 225 % over five years to $260 million. - ensured Australian firms can participate in the current upgrading of Australia's defence force with business worth in excess of $800 million this year.,Liberal,1980,Liberal,4
650,650,63620_198010_650,The Government will continue its strong support for export incentives beyond 1982.,0,"- ensured Australian firms can participate in the current upgrading of Australia's defence force with business worth in excess of $800 million this year. The Government will continue to take positive action to encourage the development of an outward-looking, specialised and innovative manufacturing sector.",Liberal,1980,Liberal,4
651,651,63620_198010_651,Industrial research and development grants and export incentives will continue to be essential elements of our industrial policy.,0,"The Government will continue to take positive action to encourage the development of an outward-looking, specialised and innovative manufacturing sector. The Government will continue its strong support for export incentives beyond 1982.",Liberal,1980,Liberal,1
652,652,63620_198010_652,"We will avoid over regulation of business, which stultifies initiative and enterprise and imposes costs that must ultimately be borne by the public.",0,The Government will continue its strong support for export incentives beyond 1982. Industrial research and development grants and export incentives will continue to be essential elements of our industrial policy.,Liberal,1980,Liberal,6
653,653,63620_198010_653,SMALL BUSINESS.,1,"Industrial research and development grants and export incentives will continue to be essential elements of our industrial policy. We will avoid over regulation of business, which stultifies initiative and enterprise and imposes costs that must ultimately be borne by the public.",Liberal,1980,Liberal,1
654,654,63620_198010_654,"There are half a million small businesses in Australia, about 90% of Australian businesses, providing 40% of total private employment.",1,"We will avoid over regulation of business, which stultifies initiative and enterprise and imposes costs that must ultimately be borne by the public. SMALL BUSINESS.",Liberal,1980,Liberal,1
655,655,63620_198010_655,They are a central feature of the Australian free enterprise system.,1,"SMALL BUSINESS. There are half a million small businesses in Australia, about 90% of Australian businesses, providing 40% of total private employment.",Liberal,1980,Liberal,1
656,656,63620_198010_656,The most important assistance the Government has given to small business has been to lessen the burden of inflation.,1,"There are half a million small businesses in Australia, about 90% of Australian businesses, providing 40% of total private employment. They are a central feature of the Australian free enterprise system.",Liberal,1980,Liberal,1
657,657,63620_198010_657,We have also helped small business to help itself.,1,They are a central feature of the Australian free enterprise system. The most important assistance the Government has given to small business has been to lessen the burden of inflation.,Liberal,1980,Liberal,1
658,658,63620_198010_658,We have eased its taxation burden by $60 million a year by increasing' the Division 7 retention allowance from 50% to 70%.,1,The most important assistance the Government has given to small business has been to lessen the burden of inflation. We have also helped small business to help itself.,Liberal,1980,Liberal,1
659,659,63620_198010_659,During the life of the next Parliament this allowance will be extended further.,0,We have also helped small business to help itself. We have eased its taxation burden by $60 million a year by increasing' the Division 7 retention allowance from 50% to 70%.,Liberal,1980,Liberal,5
660,660,63620_198010_660,We have also: - given a special tax concession to self employed persons and employees not covered by employer superannuation arrangements to encourage them to make a proper provision for their retirement.,1,We have eased its taxation burden by $60 million a year by increasing' the Division 7 retention allowance from 50% to 70%. During the life of the next Parliament this allowance will be extended further.,Liberal,1980,Liberal,1
661,661,63620_198010_661,- assisted with finance by relaxing constraints on the Commonwealth Development Bank's powers to lend to all small firms.,1,During the life of the next Parliament this allowance will be extended further. We have also: - given a special tax concession to self employed persons and employees not covered by employer superannuation arrangements to encourage them to make a proper provision for their retirement.,Liberal,1980,Liberal,1
662,662,63620_198010_662,- abolished all estate And gift duties.,1,We have also: - given a special tax concession to self employed persons and employees not covered by employer superannuation arrangements to encourage them to make a proper provision for their retirement. - assisted with finance by relaxing constraints on the Commonwealth Development Bank's powers to lend to all small firms.,Liberal,1980,Liberal,1
663,663,63620_198010_663,TOURISM.,1,- assisted with finance by relaxing constraints on the Commonwealth Development Bank's powers to lend to all small firms. - abolished all estate And gift duties.,Liberal,1980,Liberal,1
664,664,63620_198010_664,Tourism is an important Australian industry and has outstanding prospects for further growth.,1,- abolished all estate And gift duties. TOURISM.,Liberal,1980,Liberal,1
665,665,63620_198010_665,"In 1979 tourism earned around $650 million in foreign exchange and between 1973/74 and 1985 it should have created some 60,000 new jobs.",1,TOURISM. Tourism is an important Australian industry and has outstanding prospects for further growth.,Liberal,1980,Liberal,1
666,666,63620_198010_666,"The Government's policy is to promote Australia's tourist attractions and encourage a vigorous, competitive industry.",0,"Tourism is an important Australian industry and has outstanding prospects for further growth. In 1979 tourism earned around $650 million in foreign exchange and between 1973/74 and 1985 it should have created some 60,000 new jobs.",Liberal,1980,Liberal,1
667,667,63620_198010_667,We are assisting the industry by: - funding a threefold increase in the Australian Tourist Commission's overseas promotion.,0,"In 1979 tourism earned around $650 million in foreign exchange and between 1973/74 and 1985 it should have created some 60,000 new jobs. The Government's policy is to promote Australia's tourist attractions and encourage a vigorous, competitive industry.",Liberal,1980,Liberal,1
668,668,63620_198010_668,"- upgrading airports at Brisbane, Coolangatta, Perth, Canberra, Townsville, Darwin And Norfolk Island.",0,"The Government's policy is to promote Australia's tourist attractions and encourage a vigorous, competitive industry. We are assisting the industry by: - funding a threefold increase in the Australian Tourist Commission's overseas promotion.",Liberal,1980,Liberal,5
669,669,63620_198010_669,- including the industry's overseas tourism promotion in the Export Market Development Grants Scheme.,0,"We are assisting the industry by: - funding a threefold increase in the Australian Tourist Commission's overseas promotion. - upgrading airports at Brisbane, Coolangatta, Perth, Canberra, Townsville, Darwin And Norfolk Island.",Liberal,1980,Liberal,1
670,670,63620_198010_670,- introducing lower International airfares.,0,"- upgrading airports at Brisbane, Coolangatta, Perth, Canberra, Townsville, Darwin And Norfolk Island. - including the industry's overseas tourism promotion in the Export Market Development Grants Scheme.",Liberal,1980,Liberal,1
671,671,63620_198010_671,- encouraging investment in new accommodation by a 2.5% depreciation allowance for hotel/motel buildings - allocating funds to the Northern Territory for a tourist resort village at Ayers Rock.,0,- including the industry's overseas tourism promotion in the Export Market Development Grants Scheme. - introducing lower International airfares.,Liberal,1980,Liberal,6
672,672,63620_198010_672,In addition the Government will remove the present specific exclusion from the investment allowance of plant for use in connection with amusement or recreation.,0,- introducing lower International airfares. - encouraging investment in new accommodation by a 2.5% depreciation allowance for hotel/motel buildings - allocating funds to the Northern Territory for a tourist resort village at Ayers Rock.,Liberal,1980,Liberal,6
673,673,63620_198010_673,PRIMARY INDUSTRY.,1,- encouraging investment in new accommodation by a 2.5% depreciation allowance for hotel/motel buildings - allocating funds to the Northern Territory for a tourist resort village at Ayers Rock. In addition the Government will remove the present specific exclusion from the investment allowance of plant for use in connection with amusement or recreation.,Liberal,1980,Liberal,1
674,674,63620_198010_674,The Government has always recognised the importance of Australia's primary industries to the national economy.,1,In addition the Government will remove the present specific exclusion from the investment allowance of plant for use in connection with amusement or recreation. PRIMARY INDUSTRY.,Liberal,1980,Liberal,1
675,675,63620_198010_675,"We are committed to ensuring a strong, viable and efficient rural sector.",0,PRIMARY INDUSTRY. The Government has always recognised the importance of Australia's primary industries to the national economy.,Liberal,1980,Liberal,5
676,676,63620_198010_676,We have always stood ready to assist rural industries where and when such assistance has been necessary.,1,"The Government has always recognised the importance of Australia's primary industries to the national economy. We are committed to ensuring a strong, viable and efficient rural sector.",Liberal,1980,Liberal,1
677,677,63620_198010_677,We will continue to do so.,0,"We are committed to ensuring a strong, viable and efficient rural sector. We have always stood ready to assist rural industries where and when such assistance has been necessary.",Liberal,1980,Liberal,4
678,678,63620_198010_678,As a result of our policies: - our overseas markets for agricultural products have expanded and consolidated.,1,We have always stood ready to assist rural industries where and when such assistance has been necessary. We will continue to do so.,Liberal,1980,Liberal,1
679,679,63620_198010_679,- orderly marketing of commodities has been established.,1,We will continue to do so. As a result of our policies: - our overseas markets for agricultural products have expanded and consolidated.,Liberal,1980,Liberal,1
680,680,63620_198010_680,- facilities And allowances for people living in country areas have been improved.,1,As a result of our policies: - our overseas markets for agricultural products have expanded and consolidated. - orderly marketing of commodities has been established.,Liberal,1980,Liberal,1
681,681,63620_198010_681,Stability.,1,- orderly marketing of commodities has been established. - facilities And allowances for people living in country areas have been improved.,Liberal,1980,Liberal,1
682,682,63620_198010_682,"During the next three years, the Government will continue to build on its record of achievement to ensure that primary industries remain strong and viable.",0,- facilities And allowances for people living in country areas have been improved. Stability.,Liberal,1980,Liberal,4
683,683,63620_198010_683,"Major stabilisation programmes are already in place for wheat, wool and sugar.",1,"Stability. During the next three years, the Government will continue to build on its record of achievement to ensure that primary industries remain strong and viable.",Liberal,1980,Liberal,1
684,684,63620_198010_684,"We have abolished Federal estate and gift duties, greatly improved tax averaging provisions and introduced Income Equalisation Deposits (IEDs).",1,"During the next three years, the Government will continue to build on its record of achievement to ensure that primary industries remain strong and viable. Major stabilisation programmes are already in place for wheat, wool and sugar.",Liberal,1980,Liberal,1
685,685,63620_198010_685,To assist further those primary producers who take advantage of the IEDs the Government will now provide for withdrawals to be made up to 31 August each year for the previous year.,0,"Major stabilisation programmes are already in place for wheat, wool and sugar. We have abolished Federal estate and gift duties, greatly improved tax averaging provisions and introduced Income Equalisation Deposits (IEDs).",Liberal,1980,Liberal,5
686,686,63620_198010_686,We will maintain the wool reserve price scheme and guarantee that the floor in the 1981/82 season will not fall below this season's reserve price.,0,"We have abolished Federal estate and gift duties, greatly improved tax averaging provisions and introduced Income Equalisation Deposits (IEDs). To assist further those primary producers who take advantage of the IEDs the Government will now provide for withdrawals to be made up to 31 August each year for the previous year.",Liberal,1980,Liberal,7
687,687,63620_198010_687,"A new Dairy Industry Stabilisation arrangement will be negotiated with the industry, with the object of establishing a long term scheme.",0,To assist further those primary producers who take advantage of the IEDs the Government will now provide for withdrawals to be made up to 31 August each year for the previous year. We will maintain the wool reserve price scheme and guarantee that the floor in the 1981/82 season will not fall below this season's reserve price.,Liberal,1980,Liberal,6
688,688,63620_198010_688,New underwriting arrangements will be introduced for the apple and pear industry and proposals are being developed for new support arrangements for the dried vine fruits industry.,0,"We will maintain the wool reserve price scheme and guarantee that the floor in the 1981/82 season will not fall below this season's reserve price. A new Dairy Industry Stabilisation arrangement will be negotiated with the industry, with the object of establishing a long term scheme.",Liberal,1980,Liberal,6
689,689,63620_198010_689,"We will continue to fund the development of a beef carcass classification system and to encourage sheepmeat exports, both through the important live sheep trade and the carcass trade.",0,"A new Dairy Industry Stabilisation arrangement will be negotiated with the industry, with the object of establishing a long term scheme. New underwriting arrangements will be introduced for the apple and pear industry and proposals are being developed for new support arrangements for the dried vine fruits industry.",Liberal,1980,Liberal,4
690,690,63620_198010_690,New Measures.,1,"New underwriting arrangements will be introduced for the apple and pear industry and proposals are being developed for new support arrangements for the dried vine fruits industry. We will continue to fund the development of a beef carcass classification system and to encourage sheepmeat exports, both through the important live sheep trade and the carcass trade.",Liberal,1980,Liberal,1
691,691,63620_198010_691,To assist the long term stability of rural industries: - Capital costs incurred by consumers on rural properties and people living in remote areas in connecting to mains electricity supply will be fully deductible in the year of expenditure.,0,"We will continue to fund the development of a beef carcass classification system and to encourage sheepmeat exports, both through the important live sheep trade and the carcass trade. New Measures.",Liberal,1980,Liberal,6
692,692,63620_198010_692,- The Government's continuing support for the Primary Industry Bank of Australia will be extended by the provision of a three year funding commitment for the Bank's operations.,0,New Measures. To assist the long term stability of rural industries: - Capital costs incurred by consumers on rural properties and people living in remote areas in connecting to mains electricity supply will be fully deductible in the year of expenditure.,Liberal,1980,Liberal,4
693,693,63620_198010_693,- the Commonwealth will seek the cooperation of the States to request States Grants Commissions to give special consideration to the needs of local Government authorities in remote areas that have to generate electricity from diesel fuel because there is no alternative fuel supply.,0,To assist the long term stability of rural industries: - Capital costs incurred by consumers on rural properties and people living in remote areas in connecting to mains electricity supply will be fully deductible in the year of expenditure. - The Government's continuing support for the Primary Industry Bank of Australia will be extended by the provision of a three year funding commitment for the Bank's operations.,Liberal,1980,Liberal,6
694,694,63620_198010_694,- assistance will be provided through the taxation system to help compensate for the cost of private electricity generation at the principal place of residence or Business in country areas where mains supply is not available.,0,- The Government's continuing support for the Primary Industry Bank of Australia will be extended by the provision of a three year funding commitment for the Bank's operations. - the Commonwealth will seek the cooperation of the States to request States Grants Commissions to give special consideration to the needs of local Government authorities in remote areas that have to generate electricity from diesel fuel because there is no alternative fuel supply.,Liberal,1980,Liberal,6
695,695,63620_198010_695,- The current $80 per tonne LPG subsidy for household use will be extended to traditional users of LPG in decentralised industries.,0,- the Commonwealth will seek the cooperation of the States to request States Grants Commissions to give special consideration to the needs of local Government authorities in remote areas that have to generate electricity from diesel fuel because there is no alternative fuel supply. - assistance will be provided through the taxation system to help compensate for the cost of private electricity generation at the principal place of residence or Business in country areas where mains supply is not available.,Liberal,1980,Liberal,7
696,696,63620_198010_696,"- A special depreciation allowance of 20% a year on a prime cost basis over five years applicable to new machinery used wholly and exclusively in agricultural, pastoral and forestry operations will be introduced.",0,- assistance will be provided through the taxation system to help compensate for the cost of private electricity generation at the principal place of residence or Business in country areas where mains supply is not available. - The current $80 per tonne LPG subsidy for household use will be extended to traditional users of LPG in decentralised industries.,Liberal,1980,Liberal,6
697,697,63620_198010_697,The allowance will also apply to the purchase of new vessels in the fishing industry.,0,"- The current $80 per tonne LPG subsidy for household use will be extended to traditional users of LPG in decentralised industries. - A special depreciation allowance of 20% a year on a prime cost basis over five years applicable to new machinery used wholly and exclusively in agricultural, pastoral and forestry operations will be introduced.",Liberal,1980,Liberal,5
698,698,63620_198010_698,- Government financial support for wool promotion will be placed on A three year basis.,0,"- A special depreciation allowance of 20% a year on a prime cost basis over five years applicable to new machinery used wholly and exclusively in agricultural, pastoral and forestry operations will be introduced. The allowance will also apply to the purchase of new vessels in the fishing industry.",Liberal,1980,Liberal,6
699,699,63620_198010_699,- full deductibility of capital expenditure by A Primary producer on soil conservation will be introduced.,0,The allowance will also apply to the purchase of new vessels in the fishing industry. - Government financial support for wool promotion will be placed on A three year basis.,Liberal,1980,Liberal,6
700,700,63620_198010_700,- $ 3 million will be allocated to the States in the 1981/82 financial year for soil conservation purposes.,0,- Government financial support for wool promotion will be placed on A three year basis. - full deductibility of capital expenditure by A Primary producer on soil conservation will be introduced.,Liberal,1980,Liberal,7
701,701,63620_198010_701,"- in consultation with the States, additional funds will be provided through the Commonwealth extension Services Grants Scheme to improve access by farmers to Information on fuel saving technology And equipment.",0,- full deductibility of capital expenditure by A Primary producer on soil conservation will be introduced. - $ 3 million will be allocated to the States in the 1981/82 financial year for soil conservation purposes.,Liberal,1980,Liberal,3
702,702,63620_198010_702,- to encourage the storage of fuel the Government will make expenditure on the purchase And installation of storage facilities for liquid And gaseous fuel to be used in carrying on A Business fully deductible in the year the expenditure is incurred.,0,"- $ 3 million will be allocated to the States in the 1981/82 financial year for soil conservation purposes. - in consultation with the States, additional funds will be provided through the Commonwealth extension Services Grants Scheme to improve access by farmers to Information on fuel saving technology And equipment.",Liberal,1980,Liberal,5
